"","Site","Plot","SBAPC","SBA","Soil_Type","X100Clay","X100Silt","X100Sand","X100Bracken","X100Moss","X100BareGround","X100BG.M","X100Litter","X100Trampling","X100Hollyshrub","X100Rubusshrub","X100IlexEat","X100Grass","X100Canopy_openness","X100Under_openness","X100Canopy_Open_Total","X100LOIO","X100LOIM"
"18","Brockis Hill","3 - Moderate",0.491061903,33.72,71108,-1.73460105538811,-1.20831120592453,0.489548225318706,-6.90675477864855,-2.94443897916644,-6.90675477864855,-2.94443897916644,2.94443897916644,-1.73460105538811,-1.38629436111989,-6.90675477864855,-5.94964044808459,-6.90675477864855,-1.68829648734642,-6.90675477864855,-1.68829648734642,-0.528589987758766,-0.450148758359987
"19","Brockis Hill","4 - Major",0.724669267,18.24,71108,-1.99243016469021,-1.20831120592453,0.619039208406224,-1.38629436111989,-1.38629436111989,-2.94443897916644,-1.09861228866811,1.09861228866811,-0.405465108108164,-2.94443897916644,-4.59511985013459,-5.08081258190988,-4.59511985013459,-0.723785205960726,-6.90675477864855,-0.723785205960726,-0.565085134943438,-0.754808466462368
"20","Brockis Hill","5 - Total",1,0,71108,-1.90095876119305,-1.20831120592453,0.575364144903562,-6.90675477864855,-3.89182029811063,-4.59511985013459,-3.47609868983527,-0.847297860387204,-1.73460105538811,-2.4423470353692,-1.38629436111989,-5.57265204115623,-1.09861228866811,0.100885479693128,-2.60371050487487,0.380940831516844,0.349983183689912,-0.952193064171205
"21","DennyWood","1 - Intact",0,61.76,71107,-1.65822807660353,-0.944461608840851,0.241162056816888,-6.90675477864855,-4.59511985013459,-4.59511985013459,-3.89182029811063,6.90675477864855,-1.73460105538811,-6.90675477864855,-6.90675477864855,-4.59511985013459,-6.90675477864855,-4.1114432013176,-6.90675477864855,-4.1114432013176,-0.417236772136479,0.394956075116833
"22","DennyWood","2 - Slight",0.192463658,49.87,71107,-0.994622575144062,-0.994622575144062,-0.160342650075179,-4.59511985013459,-2.94443897916644,-4.59511985013459,-2.75153531304195,0.405465108108164,-1.73460105538811,-4.59511985013459,-4.59511985013459,-4.59511985013459,-0.847297860387204,-2.71868084688851,-5.07051554642966,-2.61593319523661,-0.522679473187343,-0.82144091153759
"23","DennyWood","3 - Moderate",0.428697109,35.28,71107,-0.489548225318706,-0.944461608840851,-0.663294217410264,-6.90675477864855,-1.38629436111989,-4.59511985013459,-1.3249254147436,0.405465108108164,-2.19722457733622,-4.59511985013459,-4.59511985013459,-5.68057405422519,-1.38629436111989,-0.769071470775624,-6.90675477864855,-0.769071470775624,-0.348786873408418,-0.329922480361017
"24","DennyWood","4 - Major",0.719054357,17.35,71107,-0.994622575144062,-0.847297860387204,-0.281851152140988,-4.59511985013459,-2.94443897916644,-4.59511985013459,-2.75153531304195,-2.19722457733622,-2.94443897916644,-6.90675477864855,-4.59511985013459,-6.90675477864855,1.38629436111989,0.290015795798001,-3.28354577068406,0.439500485474949,0.0606365721862457,-2.60114707536329
"25","DennyWood","5 - Total",1,0,71107,-0.447312218043665,-1.04596855518269,-0.619039208406224,-4.59511985013459,-4.59511985013459,-4.59511985013459,-3.89182029811063,-3.89182029811063,-2.94443897916644,-4.59511985013459,-2.94443897916644,-5.78359717668242,0.847297860387203,0.912150402566765,-3.90413774732147,1.01091920192408,-0.793881380279271,-2.84186561975594
"26","Eyeworth","1 - Intact",0,64.33,71107,-1.450010175506,-0.75377180237638,-0.0400053346136992,-6.90675477864855,-4.59511985013459,-6.90675477864855,-4.59511985013459,6.90675477864855,-2.94443897916644,-6.90675477864855,-6.90675477864855,-4.83446795837854,-6.90675477864855,-4.10327889095587,-5.25388308634187,-3.82034723877695,-0.188104874312658,-2.88306454198619
"27","Eyeworth","2 - Slight",0.1991393,51.52,64303,-1.65822807660353,-0.994622575144062,0.281851152140987,-4.59511985013459,-4.59511985013459,-4.59511985013459,-3.89182029811063,2.94443897916644,-1.73460105538811,-4.59511985013459,-4.59511985013459,-5.27415995770952,-2.94443897916644,-2.24017873930552,-1.99622350813578,-1.2903120370342,0.18197571819382,-2.47507217162265
"28","Eyeworth","3 - Moderate",0.454558663,35.09,71107,-1.65822807660353,-0.944461608840851,0.241162056816888,-4.59511985013459,-6.90675477864855,-4.59511985013459,-4.59511985013459,3.89182029811063,-2.19722457733622,-6.90675477864855,-6.90675477864855,-5.08215700082363,-4.59511985013459,-1.11118518217064,-1.8781631536495,-0.488487239775898,0.771109051487447,-2.21556453461403
"29","Eyeworth","4 - Major",0.748899095,16.15,71107,-1.51634748936809,-0.994622575144062,0.200670695462151,-6.90675477864855,-2.19722457733622,-4.59511985013459,-2.09074109693377,-0.405465108108164,-2.94443897916644,-2.94443897916644,-4.59511985013459,-5.06088571683983,0.847297860387203,-0.00840004939252272,-2.73219711108695,0.237104597708253,0.828685150241049,-2.71118094570351
"30","Eyeworth","5 - Total",1,0,71107,-1.51634748936809,-0.800119300112113,0.0400053346136992,2.19722457733622,-4.59511985013459,-4.59511985013459,-3.89182029811063,-1.38629436111989,-2.19722457733622,-6.90675477864855,-6.90675477864855,-5.15677204105035,-2.19722457733622,0.168799666603243,-0.580576290550757,2.20726482232145,0.0379607938710536,-2.58323682406398
"31","JamesHill","1 - Intact",0,61.16,71107,-1.04596855518269,-0.708185057924486,-0.363965377201412,-4.59511985013459,-4.59511985013459,-6.90675477864855,-4.59511985013459,6.90675477864855,-2.94443897916644,-4.59511985013459,-6.90675477864855,-5.1440804761082,-6.90675477864855,-4.01748306364276,-5.76679739981322,-3.85178292505079,-0.140517564497526,-2.96425432500161
"32","JamesHill","2 - Slight",0.188955902,49.6,71107,-1.26566637333128,-0.619039208406224,-0.281851152140988,-6.90675477864855,-3.89182029811063,-4.59511985013459,-3.47609868983527,3.89182029811063,-2.94443897916644,-1.73460105538811,-6.90675477864855,-5.3870845460371,-4.59511985013459,-2.3141234274977,-4.55549501493095,-2.19323096180475,0.107119411687702,-2.64705815809559
"33","JamesHill","3 - Moderate",0.473029599,32.23,71107,-0.847297860387204,-0.895384047054842,-0.363965377201412,-2.19722457733622,-2.94443897916644,-4.59511985013459,-2.75153531304195,2.94443897916644,-2.19722457733622,-1.73460105538811,-4.59511985013459,-5.51745289646471,-4.59511985013459,-1.81197167317664,-3.62331476562105,-1.61135914261199,0.687347942891419,-2.90618754232028
"34","JamesHill","4 - Major",0.704274273,18.09,71107,-0.994622575144062,-0.575364144903562,-0.532216813747308,-6.90675477864855,-4.59511985013459,-4.59511985013459,-3.89182029811063,1.99243016469021,-2.94443897916644,-1.38629436111989,-4.59511985013459,-5.33432780407107,-1.99243016469021,-0.966393186869755,-2.44126057473344,-0.594164046887258,1.01325019138975,-3.13293958553662
"35","JamesHill","5 - Total",1,0,71107,-0.944461608840851,-0.489548225318706,-0.663294217410264,-6.90675477864855,-1.38629436111989,-2.94443897916644,-1.09861228866811,-6.90675477864855,-1.38629436111989,-3.89182029811063,-1.73460105538811,-4.956218255159,-0.405465108108164,0.200266663214882,-2.88221050776803,0.41773028651999,1.5388709250418,-3.70796771079671
"36","Malwood","1 - Intact",0,65.02,71108,-1.15267950993839,-1.04596855518269,0,-6.90675477864855,-4.59511985013459,-4.59511985013459,-3.89182029811063,4.59511985013459,-2.94443897916644,-4.59511985013459,-6.90675477864855,-4.72280341922545,-4.59511985013459,-3.70882962118465,-3.40177620501317,-2.82175190053721,1.89826411022541,-1.82632279445955
"37","Malwood","2 - Slight",0.232806408,49.88,71108,-0.944461608840851,-0.944461608840851,-0.241162056816888,-4.59511985013459,-4.59511985013459,-4.59511985013459,-3.89182029811063,2.94443897916644,-2.94443897916644,-4.59511985013459,-4.59511985013459,-5.74139933822751,-2.94443897916644,-2.72767386205637,-2.59161528044054,-1.89179447418178,0.990912543035755,-2.22518746882478
