"","Site","Plot","SBAPC","SBA","Soil_Type","Sward","CerDungPro","EqqDungPro","Fungi","Ilexno","Fagusno","IlexJuv","FagusJuv","TotJuv","Cervus.DungTot","Eqqus.DungTot","CompTot","CompGF","CompTree","DungTot","DungTotPro","LichenRichOth","LichenRichTot","LichenRicHol","LichenRichBeech","IlexSL","FagusSL","QuerSL","TotSL","BD..g.cm3.","Depth","SnagTot","SnagFagus","SnagIlex","SnagQuer","Fagus.deadwood..m3.","Ilex.Lying.Deadwood..m3.","Quercus.Lying.Deadwood..m3.","Lying.Deadwood.Total..m3.","LOIO","LOIM","NO3O","NO3M","NH4O","NH4M","PMNO","PMNM","CNRatioSoil","K","Ca","Mg","Na","Al","Mn","Fe","P","MF_Min","MF_Org","pH","EC","Soil_Respiration","Soil_Temp","Amb_Temp","MFSR","C_Storage..tonnes.hectares.","Biomass..m3.ha.","Clay","Silt","Sand","Bracken","Moss","BareGround","BG.M","Litter","Trampling","IlexEat","Grass","Canopy_openness","Under_openness","Canopy.Openness.Total","X100Clay","X100Silt","X100Sand","X100Bracken","X100Moss","X100BareGround","X100BG.M","X100Litter","X100Trampling","X100Hollyshrub","X100Rubusshrub","X100IlexEat","X100Grass","X100Canopy_openness","X100Under_openness","X100Canopy_Open_Total","X100LOIO","X100LOIM"
"22","DennyWood","2 - Slight",0.192463658,49.87,71107,1,103,41,8,1,12,1,0,1,143,55,12,8,4,198,144,1,28,4,23,0,0,0,0,1.066263338,3.57,802.7407451,0,802.7407451,0,4.609805102,0.055857892,0,4.665662994,37.22258969,30.54578799,4.845049033,1.415190987,17.02097645,14.87489776,92.78876334,15.33554165,16.65571059,0.074897205,0.594134741,0.187355284,0.083831455,3.223294723,0.12497485,0.012055396,6.8848,1.85743817,1.827904862,4,139,36,15.78,16.5,0.7411438,256.2498384,288.7562784,27,27,46,1,5,1,6,60,15,1,30,6.188,0.624,6.812,0.27,0.27,0.46,0.01,0.05,0.01,0.06,0.6,0.15,0.01,0.01,0.01,0.3,0.06188,0.00624,0.06812,0.372225897,0.30545788
"23","DennyWood","3 - Moderate",0.428697109,35.28,71107,0,0,33,10,0,6,0,0,0,0,71,13,10,3,71,33,0,39,0,39,26,0,0,0,1.096977383,3.97,38347.22447,38347.22447,0,0,9.323252467,0,0.744948626,10.06820109,41.36766322,41.82594853,0.632464071,8.74e-16,36.87718277,11.2358823,124.5684244,36.95865538,21.85232683,0.050556401,1.04210784,0.216115452,0.071819055,2.52521972,0.01747515,0.015115972,3.838,1.330625046,2.249765051,4.01,121,36.6,15.8,17.6,0.402988306,291.473268,349.8012611,38,28,34,0,20,1,21,60,10,0.34,20,31.668,0,31.668,0.38,0.28,0.34,0.001,0.2,0.01,0.21,0.6,0.1,0.01,0.01,0.0034,0.2,0.31668,0.001,0.31668,0.413676632,0.418259485
"24","DennyWood","4 - Major",0.719054357,17.35,71107,14,713,1,2,0,3,0,0,0,965,2,20,17,3,967,714,0,35,0,35,8,0,0,0,1.422208104,4.2,34368.86301,34368.86301,0,0,6.48956189,0,0.009503318,6.499065208,51.51544995,6.906463332,6.634472535,2.461099103,40.94088716,7.492415907,111.0326428,24.84357748,22.02131613,0.112855673,0.558254148,0.242983067,0.050180393,2.60752103,0.036895572,0.014624197,3.0264,1.260562955,2.202644882,4.16,118,25.2,15.84,19.1,0.563234786,161.648297,179.368036,27,30,43,1,5,1,6,10,5,0,80,57.2,3.614,60.814,0.27,0.3,0.43,0.01,0.05,0.01,0.06,0.1,0.05,0.001,0.01,0.001,0.8,0.572,0.03614,0.60814,0.5151545,0.069064633
"25","DennyWood","5 - Total",1,0,71107,38,95,0,5,0,0,0,0,0,130,0,28,23,5,130,95,10,15,0,5,18,0,1,6,1.513992799,5.6,0,0,0,0,0,0,0.271729753,0.271729753,31.13358698,5.510331959,1.785570859,0.059635627,21.98112242,10.51228106,75.13339611,20.08955956,20.68083045,0.036865087,0.854451096,0.211627006,0.050359462,2.650221882,0.032960701,0.021732608,8.4915,1.252348172,1.587882656,4.5,59.9,40,16.38,19.9,1.34660388,49.78610228,3.668351666,39,26,35,1,1,1,2,2,5,0.306818182,70,71.344,1.976,73.32,0.39,0.26,0.35,0.01,0.01,0.01,0.02,0.02,0.05,0.01,0.05,0.003068182,0.7,0.71344,0.01976,0.7332,0.31133587,0.05510332
"26","Eyeworth","1 - Intact",0,64.33,71107,0,0,37,16,6,8,0,0,0,0,86,6,2,4,86,37,2,28,13,13,12,0,0,0,1.415038531,6.65,415.232155,0,415.232155,0,2.247379342,0,0,2.247379342,45.31119549,5.299712059,2.297720971,0.573961018,15.37411587,3.989444987,62.45088133,9.402716964,18.04612489,0.148173032,0.324474695,0.270885708,0.076825818,3.864356725,0.026716359,0.137812271,5.4692,1.251235019,3.015758775,4.86,136.4,43.6,15.62,20,0.893555268,337.8385918,369.5817909,19,32,49,0,1,0,1,100,5,0.788819876,0,1.625,0.52,2.145,0.19,0.32,0.49,0.001,0.01,0.001,0.01,0.999,0.05,0.001,0.001,0.007888199,0.001,0.01625,0.0052,0.02145,0.453111955,0.052997121
"27","Eyeworth","2 - Slight",0.1991393,51.52,64303,2,55,55,9,8,5,0,0,0,85,113,17,12,5,198,110,6,30,14,10,22,2,0,4,1.528844907,4.97,141.4403918,141.4403918,0,0,3.556438906,0,0,3.556438906,54.53687985,7.762429458,2.084637391,0.609545078,24.89598971,7.310371292,68.76613899,17.40204334,18.36272685,0.108363833,0.724311444,0.272592918,0.060457237,3.567060324,0.23260299,0.025955428,6.2895,1.32880827,2.575140306,4.9,111.6,1,15.8,19.5,0.534780967,304.4982953,320.1379324,16,27,57,1,1,1,2,95,15,0.509615385,5,9.62,11.96,21.58,0.16,0.27,0.57,0.01,0.01,0.01,0.02,0.95,0.15,0.01,0.01,0.005096154,0.05,0.0962,0.1196,0.2158,0.545368799,0.077624295
"28","Eyeworth","3 - Moderate",0.454558663,35.09,71107,0,139,30,9,4,6,0,0,0,187,64,10,7,3,251,169,9,37,12,16,25,1,0,1,1.309537834,9.4,4772.543184,0,0,0,2.961820669,0,0.050451347,3.012272016,68.37607549,9.836147013,4.491991417,1.161717598,23.81430567,6.95899147,47.85561918,19.08611205,15.74614062,0.222124565,1.15237511,0.535089708,0.055818544,4.674477853,0.110911123,0.027053945,6.72,1.381387835,2.143904994,4.4,60.1,46.66666667,16.12,18.8,0.706952165,243.8036675,236.4700031,16,28,56,1,0,1,1,98,10,0.61682243,1,24.765,13.26,38.025,0.16,0.28,0.56,0.01,0.001,0.01,0.01,0.98,0.1,0.001,0.001,0.006168224,0.01,0.24765,0.1326,0.38025,0.683760755,0.09836147
"29","Eyeworth","4 - Major",0.748899095,16.15,71107,14,57,0,9,1,1,0,0,0,76,0,32,25,7,76,57,4,18,6,8,196,23,2,31,1.400598702,3.57,107.2919341,0,107.2919341,0,11.18765059,0.027897343,0.076403533,11.29195147,69.60768397,6.23168092,4.879293495,0.500961771,13.29080032,4.550719307,66.80139216,16.27933086,15.28441911,0.111758985,0.724254996,0.272824029,0.056685514,3.971597484,0.047907693,0.021413462,4.4626,1.310515994,2.18010986,4.62,53.1,48.66666667,16.22,19.9,0.55950769,219.2159692,287.7505896,18,27,55,0,10,1,11,40,5,0.63,70,49.79,6.11,55.9,0.18,0.27,0.55,0.001,0.1,0.01,0.11,0.4,0.05,0.05,0.01,0.0063,0.7,0.4979,0.0611,0.559,0.69607684,0.062316809
"30","Eyeworth","5 - Total",1,0,71107,94,15,0,6,38,0,11,0,11,25,0,18,15,3,25,15,26,55,26,3,45,6,0,9,1.327506562,7.37,1195.271285,1195.271285,0,0,3.207960003,0,0,3.207960003,50.94890592,7.022509349,4.151528874,0.972170664,80.31869168,5.25322763,68.20478276,14.45492309,15.82845306,0.151182363,0.338536104,0.319514961,0.060746973,4.630382222,0.011632896,0.021747308,3.4476,1.338525504,3.487284254,4.43,70.1,42.2,16.66,17.6,1.041267801,80.44018046,54.36681073,18,31,51,90,1,1,2,20,10,0.572727273,10,54.21,35.88,90.09,0.18,0.31,0.51,0.9,0.01,0.01,0.02,0.2,0.1,0.001,0.001,0.005727273,0.1,0.5421,0.3588,0.9009,0.509489059,0.070225093
"31","JamesHill","1 - Intact",0,61.16,71107,0,0,8,5,9,9,24,0,24,0,11,5,2,3,11,8,0,30,9,21,20,0,0,0,1.588702635,5.85,460.8465095,0,460.8465095,0,0.526982022,0.03540821,0,0.562390232,46.49282979,4.90671196,1.823290529,0.360910223,19.28126627,2.765075209,124.1531165,9.315718157,26.50371668,0.107080851,0.429682806,0.238188085,0.072657046,3.090847769,0.017799118,0.028289623,3.2301,1.207244697,2.589072551,4.15,79.4,47,23.28,20.3,1.022714048,376.4286947,386.5388868,26,33,41,1,1,0,1,100,5,0.58,0,1.768,0.312,2.08,0.26,0.33,0.41,0.01,0.01,0.001,0.01,0.999,0.05,0.01,0.001,0.0058,0.001,0.01768,0.00312,0.0208,0.464928298,0.04906712
